,ad,foto
0,Jurnaldakı qız,https://static.insales-cdn.com/images/products/1/390/616989062/JURNALDAKI_QIZ_qapaq.jpg
1,Hələbli arıçı,https://static.insales-cdn.com/images/products/1/3987/617025427/HELEBLI_ARICI_qapaq_.jpg
2,Mahmud və Məryəm,https://static.insales-cdn.com/images/products/1/5185/617026625/MAHMUD_VE_MERYEM_qapaq.jpg
3,Qərb cəbhəsində yenilik yoxdur,https://static.insales-cdn.com/images/products/1/5575/616666567/QERB_CEBHESINDE_YENILIK_qapaq.jpg
4,Aşiq xəyalət,https://static.insales-cdn.com/images/products/1/4945/616059729/ASHIQ_XEYALET_qapaq.jpg
5,Yazıçıların gizli həyatı,https://static.insales-cdn.com/images/products/1/5600/616093152/YAZICILARIN_GIZLI_HEYATI_qapaq.jpg
6,Qarlı aşırım,https://static.insales-cdn.com/images/products/1/6854/616102598/QARLI_ASHIRIM_qapaq.jpg
7,Çağırdığın yerdə olacağam,https://static.insales-cdn.com/images/products/1/1599/616105535/CAGIRDIGIN_YERDE_OLACAM_qapaq.jpg
8,Bataqlıq qızı,https://static.insales-cdn.com/images/products/1/4335/611422447/BATAQLIQ_QIZI_qapaq__.jpg
9,Zəhərlənmiş qələm,https://static.insales-cdn.com/images/products/1/1733/611034821/ZEHERLENMISH_QELEM_qapaq.jpg
10,Autsayder üçün pyedestal,https://static.insales-cdn.com/images/products/1/5903/611047183/AUTSAYDER_UCUN_qapaq.jpg
11,Qəndəharlı agent,https://static.insales-cdn.com/images/products/1/1949/611059613/QENDEHARLI_AGENT_qapaq.jpg
12,Yüksək xoşbəxtlik nazirliyi,https://static.insales-cdn.com/images/products/1/129/611065985/YUKSEK_XOSHBESTLIK_qapaq.jpg
13,Cənnət həmin bu yaxınlıqdakı planetin adıdır,https://static.insales-cdn.com/images/products/1/5537/608368033/CENNET_PLANETI_qapaq.jpg
14,Pərdə: Puaronun son işi,https://static.insales-cdn.com/images/products/1/5361/608392433/PUARONUN_SON_ISHI_qapaq.jpg
15,Gözyaşı malikanəsi,https://static.insales-cdn.com/images/products/1/2206/608176286/GOZYASHI_MALIKANESI_qapaq.jpg
16,Meqrenin qəlyanı,https://static.insales-cdn.com/images/products/1/6708/608238132/MEQRENIN_QELYANI_qapaq.jpg
17,Şəms,https://static.insales-cdn.com/images/products/1/3035/603188187/2022-10-03-11-39-251664782765.jpg
18,Katyuşa,https://static.insales-cdn.com/images/products/1/5221/603190373/2022-09-23-09-54-411663912481.jpg
19,Dəyirman (hekayələr toplusu),https://static.insales-cdn.com/images/products/1/2524/604170716/DEYIRMAN_qapaq__.jpg
20,"Bu, gecə baş verib",https://static.insales-cdn.com/images/products/1/2806/605637366/BU_GECE_BASH_VERIB_qapaq.jpg
21,Brüsseldə iki cənab,https://static.insales-cdn.com/images/products/1/6439/605657383/BRUSSELDE_IKI_CENAB_qapaq.jpg
22,Qulaqburması,https://static.insales-cdn.com/images/products/1/5323/600995019/QULAQBURMASI_qapaq.jpg
23,Teatr,https://static.insales-cdn.com/images/products/1/2060/601884684/TEATR_qapaq.jpg
24,Brilyant məsələsi,https://static.insales-cdn.com/images/products/1/5670/601888294/BRILIYANT_MESELESI_qapaq.jpg
25,Flaminqolar çəhrayıdır,https://static.insales-cdn.com/images/products/1/233/595394793/FLAMINQOLAR_qapaq.jpg
26,Ovod (Eksklüziv Klassika),https://static.insales-cdn.com/images/products/1/5125/598258693/OVOD_yeni_qapaq.jpg
27,Pəncərədəki qız,https://static.insales-cdn.com/images/products/1/3900/592162620/PENCEREDEKI_QIZ_qapaq.jpg
28,Evə qayıtmağın yolları,https://static.insales-cdn.com/images/products/1/2543/592177647/EVE_QAYITMAGIN_YOLLLARI_qapaq.jpg
29,4321,https://static.insales-cdn.com/images/products/1/1462/592750006/4321_qapaq.jpg
30,Nami,https://static.insales-cdn.com/images/products/1/2781/583477981/NAMI_sert_qapaq.jpg
31,İqlimlər,https://static.insales-cdn.com/images/products/1/1240/588539096/IQLIMLER_qapaq.jpg
